Seasons,Age,Squad,Country,Team Rank,Goals of Messi,Assists of Messi
2004-2005,17,Barcelona,Spain,1,1,0
2005-2006,18,Barcelona,Spain,1,6,3
2006-2007,19,Barcelona,Spain,2,14,3
2007-2008,20,Barcelona,Spain,3,10,12
2008-2009,21,Barcelona,Spain,1,23,11
2009-2010,22,Barcelona,Spain,1,34,9
2010-2011,23,Barcelona,Spain,1,31,19
2011-2012,24,Barcelona,Spain,2,50,16
2012-2013,25,Barcelona,Spain,1,46,11
2013-2014,26,Barcelona,Spain,2,28,11
2014-2015,27,Barcelona,Spain,1,43,18
2015-2016,28,Barcelona,Spain,1,26,16
2016-2017,29,Barcelona,Spain,2,37,9
2017-2018,30,Barcelona,Spain,1,34,12
2018-2019,31,Barcelona,Spain,1,36,13
2019-2020,32,Barcelona,Spain,2,25,21
2020-2021,33,Barcelona,Spain,3,30,9
